smiles,flashpoint
CC(CN)O,350.15
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,467.15
C(CCl)Cl,286.15
C1=CC(=C(C=C1Cl)Cl)Cl,383.15
C(C=O)Cl,361.15
C(CCl)O,333.15
CC(C(=O)C)O,314.15
C(CCC(=O)O)CC(=O)O,464.15
C1=CC=C(C(=C1)C(=O)O)N,444.15
C1=CC=C(C=C1)C=O,337.15
C1=CC=C(C=C1)C(=O)[O-],394.15
C1=CC=C(C=C1)C(=O)O,394.15
C1=CC=C(C=C1)CO,374.15
C(CCN)CCN,335.15
C(=O)O,342.15
C1=CC=C(C(=C1)O)O,400.15
C,85.15
C(C(=O)O)Cl,423.15
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,373.15
C1=CC=C2C(=C1)C=CC(=O)O2,424.15
CC1=CC=CC=C1O,354.15
C1=CC=C(C(=C1)C(=O)O)O,430.15
CC1=CC(=CC=C1)O,359.15
C1=CC(=CC=C1N)O,468.15
C(CN)CN,297.15
COC1=CC=CC=C1O,347.15
CC(=O)C(=O)C,300.15
C1CC(=O)OC2=CC=CC=C21,403.15
CS(=O)C,368.15
C(CO)N,366.15
C=O,333.15
C(=O)N,427.15
C(C(CO)O)O,433.15
C1=CC(=CC=C1O)O,438.15
C1=CN=CN1,418.15
C(C(C(=O)O)O)(C(=O)O)O,483.15
CC(=O)NC1=CC=CC=C1,447.15
C1=CC=C2C=CC=CC2=C1,361.15
C1=CC(=CN=C1)C(=O)N,455.15
C1=CC(=CN=C1)C(=O)O,466.15
CN(C)C1=CC=CC=C1,336.15
C1=CC(=CC=C1[N+](=O)[O-])O,465.15
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],393.15
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,444.15
C1=CC=C(C=C1)O,352.15
C1=CC=C(C=C1)CC(=O)O,405.15
C1=CC=C(C(=C1)C(=O)O)C(=O)O,441.15
CC(CO)O,372.15
C1=CC=NC=C1,293.15
C(CC(=O)O)C(=O)O,433.15
C(C(=O)O)S,386.15
COC1=C(C=CC(=C1)C=O)O,426.15
C(CS)O,347.15
C1=CN=CC=C1N,437.15
CC1=C(C=CC(=C1)O)Cl,383.15
CCCCCCCCCC1=CC=C(C=C1)O,386.15
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,410.15
CC(=O)OC1=CC=CC=C1C(=O)O,523.15
C(CCCC(=O)O)CCCC(=O)O,483.15
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,421.15
CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,472.15
C1COC1=O,343.15
C(C(CO)([N+](=O)[O-])Br)O,440.15
CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,301.15
CC1(C2CCC(O1)(CC2)C)C,322.15
CC1=CC=C(C=C1)O,359.15
C1CNP(=O)(OC1)N(CCCl)CCCl,386.15
CC(CC1=CC=CC=C1)N,300.15
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,430.15
CNC(=O)CSP(=S)(OC)OC,324.15
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,449.15
CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,380.15
COC1=C(C=CC(=C1)CC=C)O,377.15
CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,443.15
C1=COC(=C1)CN,310.15
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,319.15
C1=CN=CC=C1C(=O)NN,463.15
CC(=C)C(=O)O,350.15
COC(C(Cl)Cl)(F)F,336.15
COC(=O)C1=CC=CC=C1O,369.15
COS(=O)(=O)C,377.15
CCN(CC)C(=O)C1=CC(=CC=C1)C,428.15
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,373.15
C1=CC(=O)C=CC1=O,566.15
C1=CC(=CC=C1O)Cl,394.15
C1=CC(=CC=C1Cl)Cl,339.15
C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,376.15
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,447.15
CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O,373.15
CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,472.15
CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,301.15
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,460.15
C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,282.15
C1=CC(=CC(=C1)O)O,400.15
CC(CO)N,336.15
C=CCC1=CC2=C(C=C1)OCO2,371.15
C(CCCCC(=O)O)CCCC(=O)O,493.15
C(CSCCO)O,386.15
